Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-abh9,randomiser-stbs,order-rli1,order-ey94,order-zozi,order-ehv4,branch-bm4f,branch-kt5o,Randomise questionnaire elements?,Question Key,Response
4,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,Gender,Male
5,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,Gender-quantised,1
6,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,Gender-text,
7,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,seizures,1
8,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,device,1
9,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,consent,1
10,1.69121E+12,5/8/2023 4:09,1.69121E+12,-7,4/8/2023 21:09,140076,1,questionnaire-ob8q,,31062629,BLIND,9209739,,complete,towvgs,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1903x955,,,,Consent + Demographic Qs,4,Accept old,CounterbalanceA,BCA,BCA,,,elimination correct,distraction correct,No,END QUESTIONNAIRE,16211
1,1.69121E+12,5/8/2023 4:09,1.69121E+12,5.5,5/8/2023 9:39,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1440x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,BEGIN QUESTIONNAIRE,
2,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,Age,31
3,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,Age-quantised,15
4,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,Gender,Female
5,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,Gender-quantised,2
6,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,Gender-text,
7,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,seizures,1
8,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,device,1
9,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,consent,1
10,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062637,BLIND,9209742,,complete,kpxphb,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1440x900,1423x751,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,ABC,CAB,elimination correct,distraction correct,No,END QUESTIONNAIRE,19156
1,1.69121E+12,5/8/2023 4:10,1.69121E+12,5.5,5/8/2023 9:40,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1366x619,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,BEGIN QUESTIONNAIRE,
2,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,Age,29
3,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,Age-quantised,13
4,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,Gender,Female
5,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,Gender-quantised,2
6,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,Gender-text,
7,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,seizures,1
8,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,device,1
9,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,consent,1
10,1.69121E+12,5/8/2023 4:11,1.69121E+12,5.5,5/8/2023 9:41,140076,1,questionnaire-ob8q,,31062659,BLIND,9209749,,complete,sgfqem,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1349x768,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,BCA,CAB,,,elimination correct,distraction correct,No,END QUESTIONNAIRE,64526
1,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1280x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,BEGIN QUESTIONNAIRE,
2,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,Age,33
