"","PID","condition_1","Participant.Status","condOrder","Zone.Type","ratings","condition_2"
"6161",5191080,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","4","multiple 8 positive"
"6963",5191080,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","3","noD 0 trial"
"84815",5191080,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","3","multiple 72 positive"
"93015",5181767,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","-1","noD 0 trial"
"103442",5181767,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","-2","multiple 24 positive"
"11225",5181767,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","-4","multiple 8 positive"
"127415",5181767,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","-3","multiple 72 positive"
"14287",5169528,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","8","multiple 72 positive"
"15081",5169528,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","8","noD 0 trial"
"15962",5169528,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","7","multiple 8 positive"
"170015",5169528,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","7","multiple 24 positive"
"18542",5151772,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","4","multiple 72 positive"
"19584",5151772,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","6","multiple 24 positive"
"20384",5151772,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","10","noD 0 trial"
"212615",5151772,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","6","multiple 8 positive"
"22167",5132094,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","10","multiple 8 positive"
"22961",5132094,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","10","noD 0 trial"
"24485",5132094,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","9","multiple 72 positive"
"255215",5132094,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","10","multiple 24 positive"
"27064",5123496,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","2","multiple 72 positive"
"28101",5123496,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","3","multiple 24 positive"
"28983",5123496,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","4","multiple 8 positive"
"297815",5123496,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","0","noD 0 trial"
"30843",5122418,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","7","multiple 24 positive"
"3236",5122418,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","6","multiple 72 positive"
"33242",5122418,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","5","multiple 8 positive"
"340415",5122418,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","5","noD 0 trial"
"35583",5061833,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","2","multiple 72 positive"
"3638",5061833,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","7","noD 0 trial"
"3742",5061833,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","6","multiple 24 positive"
"383013",5061833,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","4","multiple 8 positive"
"39121",5056505,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","5","noD 0 trial"
"4064",5056505,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","3","multiple 72 positive"
"41522",5056505,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","3","multiple 8 positive"
"42563",5056505,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","4","multiple 24 positive"
"4410",5190763,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","5","multiple 72 positive"
"4490",5190763,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","5","noD 0 trial"
"4594",5190763,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","5","multiple 24 positive"
"46821",5190763,"Trash_Multiple_Positive","complete","SEM","response_slider_endValue","5","multiple 8 positive"
